"node_disp_name","degree","obesitycat"
"77.TS146.2","236","Obese"
"77.TS147","319","Obese"
"77.TS148","269","Obese"
"77.TS149","303","Obese"
"77.TS150","320","Obese"
"77.TS151","308","Obese"
"77.TS151.2","276","Obese"
"77.TS152","243","Obese"
"77.TS152.2","285","Obese"
"77.TS154.2","244","Lean"
"77.TS155","210","Lean"
"77.TS155.2","249","Lean"
"77.TS156","301","Obese"
"77.TS156.2","331","Obese"
"77.TS16","266","Lean"
"77.TS160","248","Obese"
"77.TS160.2","234","Obese"
"77.TS161","263","Obese"
"77.TS162","166","Obese"
"77.TS162.2","182","Obese"
"77.TS163","300","Lean"
"77.TS163.2","278","Lean"
"77.TS164","227","Lean"
"77.TS164.2","239","Lean"
"77.TS165","254","Lean"
"77.TS165.2","221","Lean"
"77.TS166","287","Obese"
"77.TS166.2","291","Obese"
"77.TS167","305","Obese"
"77.TS167.2","308","Obese"
"77.TS168","323","Obese"
"77.TS168.2","324","Obese"
"77.TS169","365","Obese"
"77.TS169.2","370","Obese"
"77.TS170.2","246","Obese"
"77.TS178","241","Obese"
"77.TS178.2","301","Obese"
"77.TS179","293","Obese"
"77.TS179.2","282","Obese"
"77.TS180","218","Lean"
"77.TS181","298","Obese"
"77.TS181.2","239","Obese"
"77.TS182.2","306","Obese"
"77.TS183","197","Obese"
"77.TS183.2","194","Obese"
"77.TS184","252","Lean"
"77.TS185","321","Lean"
"77.TS185.2","284","Lean"
"77.TS19","275","Obese"
"77.TS19.2","249","Obese"
"77.TS190","353","Obese"
"77.TS191","264","Obese"
"77.TS193","274","Lean"
"77.TS193.2","314","Lean"
"77.TS194","261","Lean"
"77.TS194.2","263","Lean"
"77.TS195","256","Lean"
"77.TS195.2","263","Lean"
"77.TS2","283","Lean"
"77.TS2.2","263","Lean"
"77.TS20","268","Obese"
"77.TS20.2","254","Obese"
"77.TS21","360","Obese"
"77.TS21.2","258","Obese"
"77.TS22","302","Lean"
"77.TS23","240","Lean"
"77.TS25","282","Lean"
"77.TS25.2","272","Lean"
"77.TS26","247","Lean"
"77.TS26.2","290","Lean"
"77.TS27","227","Obese"
"77.TS27.2","283","Obese"
"77.TS28","287","Obese"
"77.TS29","285","Obese"
"77.TS30.2","248","Lean"
"77.TS31","286","Lean"
"77.TS31.2","275","Lean"
"77.TS32","273","Lean"
"77.TS32.2","295","Lean"
"77.TS34","276","Obese"
"77.TS35","313","Obese"
"77.TS37","300","Obese"
"77.TS37.2","276","Obese"
"77.TS39","272","Obese"
"77.TS39.2","308","Obese"
"77.TS4","214","Lean"
"77.TS4.2","215","Lean"
"77.TS43","279","Obese"
"77.TS49","282","Obese"
"77.TS49.2","198","Obese"
"77.TS5","291","Lean"
"77.TS5.2","241","Lean"
"77.TS50","247","Obese"
"77.TS50.2","216","Obese"
"77.TS51","262","Obese"
"77.TS51.2","215","Obese"
"77.TS55","280","Obese"
"77.TS55.2","255","Obese"
"77.TS56","270","Obese"
"77.TS56.2","147","Obese"
"77.TS57","113","Obese"
"77.TS57.2","189","Obese"
"77.TS6","272","Obese"
"77.TS6.2","221","Obese"
"77.TS61.2","292","Obese"
"77.TS62","210","Obese"
"77.TS62.2","289","Obese"
"77.TS63","240","Obese"
"77.TS63.2","308","Obese"
"77.TS65","312","Obese"
"77.TS65.2","289","Obese"
"77.TS66","224","Obese"
"77.TS66.2","329","Obese"
"77.TS67.2","293","Obese"
"77.TS68","262","Obese"
"77.TS68.2","343","Obese"
"77.TS69","202","Obese"
"77.TS69.2","313","Obese"
"77.TS7","326","Lean"
"77.TS7.2","284","Lean"
"77.TS70","291","Obese"
"77.TS70.2","300","Obese"
"77.TS71","327","Obese"
"77.TS71.2","338","Obese"
"77.TS72","302","Obese"
"77.TS73","211","Obese"
"77.TS74","350","Obese"
"77.TS74.2","362","Obese"
"77.TS75","173","Obese"
"77.TS75.2","184","Obese"
"77.TS76","300","Obese"
"77.TS76.2","360","Obese"
"77.TS78","221","Obese"
"77.TS78.2","241","Obese"
"77.TS8","329","Lean"
"77.TS82","244","Obese"
"77.TS82.2","281","Obese"
"77.TS83","301","Obese"
"77.TS83.2","284","Obese"
"77.TS84","210","Obese"
"77.TS84.2","303","Obese"
"77.TS86","281","Obese"
"77.TS86.2","281","Obese"
"77.TS87","339","Obese"
"77.TS87.2","333","Obese"
"77.TS88","208","Obese"
"77.TS88.2","259","Obese"
"77.TS89","331","Obese"
"77.TS89.2","320","Obese"
"77.TS9.2","281","Obese"
"77.TS90","305","Obese"
"77.TS90.2","317","Obese"
"77.TS91.2","274","Obese"
"77.TS92","286","Obese"
"77.TS92.2","302","Obese"
"77.TS94","274","Obese"
"77.TS94.2","277","Obese"
"77.TS95","248","Obese"
"77.TS95.2","233","Obese"
"77.TS96","275","Obese"
"77.TS96.2","284","Obese"
"77.TS97","245","Obese"
"77.TS97.2","301","Obese"
"77.TS98","198","Obese"
"77.TS98.2","216","Obese"
